user_id	username	_password	_role
1	alexsmith	securePass1	0
2	benjamin.white	quickBrowns!2	0
3	charlie_jones	lightHouse#3	0
4	diana.carter	sunnyDay@4	0
5	ella_martin	happyFeet5$	0
6	frank.thomas	boulder_6	0
7	grace_lee	!starryNight7	0
8	harry_kim	goldenGate8*	0
9	isabella.wright	moonRiver9&	0
10	jason_clark	rainbowTrail10%	0
11	karen_davis	eagleEye11^	0
12	luke_wilson	forestHike12@	0
13	michelle.young	rockyPath13#	0
14	nick.brown	brightSun14$	0
15	olivia_taylor	windyHill15*	0
16	peter_evans	runningMan16%	0
17	quincy_morgan	coldBreeze17^	0
18	rachel.hall	blueSky18&	0
19	steve.adams	oceanWave19#	0
20	tina_scott	goldenSun20$	0
21	uma_king	silverMoon21*	0
22	victor.green	desertStorm22%	0
23	wendy_lopez	rockClimb23^	0
24	xander.ray	thunderBolt24&	0
25	yvonne_cook	snowFall25#	0
26	admin1	admin	1
27	admin2	admin	1
28	admin3	a	1
