id	CookingorConfectionary	Nation	Difficulty_level	recipe_name	description_	prep_time	cook_time	portions	basic_ingredient_id
1	0	Italian	3	Spaghetti Bolognese	A classic Italian dish featuring al dente spaghetti noodles topped with rich, slow-simmered tomato sauce and savory ground beef.	20	40	4	1
2	1	French	2	Chocolate Mousse	Silky smooth chocolate mousse made with premium dark chocolate, whipped cream, and a hint of vanilla, creating an indulgent dessert experience.	15	30	6	18
3	0	Mexican	4	Tacos	Authentic street tacos filled with your choice of seasoned meat, fresh toppings, and zesty salsa, served on warm corn tortillas.	25	20	4	30
4	0	Japanese	3	Sushi Rolls	Delicious sushi rolls crafted with the freshest ingredients, including sushi-grade fish, seasoned rice, and crisp nori seaweed, perfect for sushi lovers.	30	45	4	31
5	1	Indian	5	Mango Lassi	A refreshing and creamy Indian drink made with ripe mangoes, yogurt, milk, and a touch of cardamom, offering a tropical escape in a glass.	10	0	2	43
6	0	American	2	Cheeseburger	A classic cheeseburger featuring a juicy beef patty, melted cheese, crisp lettuce, ripe tomato, tangy pickles, and creamy mayo, all sandwiched between a soft sesame seed bun.	20	15	4	47
7	0	Chinese	3	Sweet and Sour Pork	Tender pieces of pork stir-fried with colorful bell peppers, onions, and pineapple in a tangy sweet and sour sauce, creating a flavorful dish that balances sweet and savory notes.	25	30	4	52
8	0	Greek	3	Moussaka	Layers of roasted eggplant, spiced ground meat, and creamy béchamel sauce come together in this traditional Greek casserole, offering a comforting and hearty meal.	35	60	6	62
9	1	Thai	4	Coconut Rice Pudding	Creamy coconut rice pudding infused with aromatic pandan leaves and sweetened with palm sugar, garnished with toasted coconut flakes for added texture and flavor.	30	40	4	70
10	0	Spanish	3	Paella	A flavorful Spanish rice dish loaded with saffron-infused rice, succulent seafood, juicy chicken, and an array of vibrant vegetables, simmered to perfection in a savory broth.	40	45	6	74
11	1	Italian	2	Tiramisu	A classic Italian dessert made with layers of coffee-soaked ladyfingers, creamy mascarpone cheese, and dusted with cocoa powder, creating a decadent and indulgent treat.	30	0	6	81
12	0	French	3	Croissant	Flaky and buttery French pastry made with layers of dough, rolled and folded to create a crescent shape, perfect for breakfast or a midday treat.	40	20	6	67
